Date	Open	High	Low	Close	Adj Close	Volume
2025-06-02	100.10	100.13	100.06	100.13	96.80	1669197
2025-05-26	100.04	100.12	100.02	100.08	96.76	2810972
2025-05-19	100.01	100.05	99.94	99.97	96.72	2061127
2025-05-12	100.06	100.14	100.01	100.01	96.69	2810050
2025-05-05	100.05	100.11	99.95	100.06	96.64	1611373
2025-04-28	100.10	100.15	100.05	100.05	96.60	1646290
2025-04-21	100.18	100.21	100.12	100.21	96.57	2068253
2025-04-14	100.12	100.22	100.10	100.17	96.54	1903302
2025-04-07	100.05	100.10	100.00	100.00	96.50	1547636
2025-03-31	100.10	100.12	100.06	100.06	96.46	2050016
2025-03-24	100.06	100.12	100.04	100.04	96.43	2875229
2025-03-17	100.05	100.08	99.98	100.08	96.39	2882039
2025-03-10	100.19	100.23	100.16	100.22	96.35	2241263
2025-03-03	100.11	100.20	100.04	100.14	96.31	1895134
2025-02-24	100.18	100.23	100.12	100.16	96.26	1835158
2025-02-17	100.12	100.22	100.06	100.14	96.23	2928082
2025-02-10	100.19	100.23	100.10	100.23	96.19	2725172
2025-02-03	100.11	100.14	100.07	100.14	96.16	2412553
2025-01-27	100.16	100.16	100.09	100.11	96.12	2796835
2025-01-20	100.16	100.18	100.10	100.15	96.09	2610340
2025-01-13	100.12	100.18	100.05	100.08	96.05	2912878
2025-01-06	100.15	100.16	100.14	100.15	96.02	2146848
2024-12-30	100.20	100.24	100.12	100.24	95.98	2971540
2024-12-23	100.03	100.05	99.96	100.04	95.95	2817311
2024-12-16	100.16	100.23	100.09	100.16	95.91	1782923
2024-12-09	100.03	100.13	99.99	99.99	95.86	1967650
2024-12-02	100.15	100.17	100.09	100.14	95.83	2753406
2024-11-25	100.15	100.23	100.09	100.14	95.79	1818939
2024-11-18	100.08	100.16	100.03	100.04	95.76	2330462
2024-11-11	100.09	100.16	100.00	100.06	95.73	2667771
2024-11-04	100.05	100.09	99.97	100.08	95.70	1501232
2024-10-28	100.16	100.19	100.11	100.17	95.66	2191821
2024-10-21	100.01	100.05	100.00	100.00	95.63	2752455
2024-10-14	100.10	100.17	100.05	100.12	95.60	1887048
2024-10-07	100.11	100.18	100.08	100.12	95.57	1856624
2024-09-30	100.00	100.09	100.00	100.04	95.54	2874023
2024-09-23	100.08	100.16	100.02	100.10	95.50	1512775
2024-09-16	100.10	100.14	100.06	100.14	95.46	2341139
2024-09-09	100.18	100.26	100.13	100.21	95.42	2984687
2024-09-02	100.10	100.15	100.03	100.07	95.38	2733465
2024-08-26	100.02	100.05	99.99	100.05	95.34	2502717
2024-08-19	100.11	100.12	100.06	100.11	95.30	2340208
2024-08-12	100.12	100.14	100.03	100.08	95.26	1867224
2024-08-05	100.15	100.24	100.09	100.11	95.21	1536284
2024-07-29	100.18	100.24	100.14	100.22	95.17	1991475
2024-07-22	100.15	100.21	100.09	100.20	95.13	1802121
2024-07-15	100.18	100.27	100.16	100.16	95.09	2603496
2024-07-08	100.18	100.26	100.12	100.22	95.06	2383186
2024-07-01	100.16	100.25	100.09	100.20	95.02	1614285
2024-06-24	100.13	100.18	100.05	100.18	94.98	2983120
2024-06-17	100.19	100.23	100.09	100.22	94.95	1962387
2024-06-10	100.03	100.09	99.98	100.05	94.91	2763641
2024-06-03	100.09	100.18	99.99	100.12	94.88	1842561
2024-05-27	100.16	100.21	100.12	100.12	94.84	2151688
2024-05-20	100.07	100.11	100.06	100.06	94.80	2202453
2024-05-13	100.11	100.13	100.05	100.08	94.76	1569252
2024-05-06	100.08	100.12	100.03	100.03	94.72	1759384
2024-04-29	100.04	100.07	100.04	100.07	94.69	2983001
2024-04-22	100.04	100.05	99.95	100.05	94.66	2448923
2024-04-15	100.02	100.03	99.97	99.97	94.63	2847740
2024-04-08	100.19	100.29	100.13	100.16	94.59	2936217
2024-04-01	100.12	100.20	100.03	100.12	94.56	2109051
2024-03-25	100.03	100.08	99.96	100.02	94.52	1891669
2024-03-18	100.07	100.12	100.04	100.12	94.48	2479738
2024-03-11	100.10	100.14	100.06	100.14	94.44	2621206
2024-03-04	100.18	100.24	100.08	100.19	94.40	1554607
2024-02-26	100.08	100.09	100.00	100.05	94.37	2014416
2024-02-19	100.05	100.12	99.99	100.05	94.34	2067976
2024-02-12	100.19	100.22	100.14	100.19	94.31	2945550
2024-02-05	100.14	100.18	100.05	100.12	94.28	2042120
2024-01-29	100.02	100.06	99.96	99.98	94.25	2962222
2024-01-22	100.02	100.06	100.02	100.05	94.22	2528215
2024-01-15	100.14	100.23	100.05	100.11	94.18	1771524
2024-01-08	100.06	100.08	100.01	100.06	94.15	2729129
2024-01-01	100.02	100.11	100.00	100.01	94.11	2589857
2023-12-25	100.09	100.14	100.04	100.14	94.07	1753348
2023-12-18	100.07	100.12	100.00	100.11	94.03	1828655
2023-12-11	100.08	100.16	100.02	100.09	94.00	2930598
2023-12-04	100.08	100.16	100.04	100.06	93.97	2302518
2023-11-27	100.16	100.24	100.12	100.16	93.94	2745801
2023-11-20	100.04	100.09	99.96	100.09	93.91	1827216
2023-11-13	100.05	100.14	100.05	100.08	93.87	2535255
2023-11-06	100.02	100.05	99.97	99.98	93.83	2213822
2023-10-30	100.08	100.13	100.03	100.12	93.79	1538833
2023-10-23	100.11	100.15	100.07	100.07	93.75	1582818
2023-10-16	100.03	100.13	99.98	100.02	93.72	2447501
2023-10-09	100.17	100.26	100.11	100.16	93.69	2558240
2023-10-02	100.18	100.21	100.11	100.15	93.65	2772643
2023-09-25	100.09	100.18	100.08	100.12	93.62	1744776
2023-09-18	100.16	100.20	100.07	100.14	93.58	2425035
2023-09-11	100.13	100.18	100.04	100.15	93.54	1524264
2023-09-04	100.15	100.23	100.06	100.20	93.50	1638482
2023-08-28	100.17	100.20	100.14	100.20	93.47	1710970
2023-08-21	100.11	100.19	100.07	100.14	93.43	2374081
2023-08-14	100.04	100.12	100.00	100.04	93.39	2422294
2023-08-07	100.07	100.09	100.02	100.07	93.35	1989349
2023-07-31	100.14	100.21	100.12	100.16	93.31	2913234
2023-07-24	100.15	100.21	100.12	100.13	93.27	2314176
2023-07-17	100.14	100.17	100.07	100.11	93.23	2865843
2023-07-10	100.10	100.17	100.01	100.07	93.20	2572873
2023-07-03	100.13	100.20	100.09	100.14	93.16	1802046
2023-06-26	100.16	100.19	100.12	100.12	93.12	2382268
2023-06-19	100.12	100.15	100.06	100.15	93.08	1888923
2023-06-12	100.10	100.10	100.02	100.07	93.04	2460357
2023-06-05	100.04	100.07	99.99	99.99	93.01	2637502
2023-05-29	100.01	100.03	99.98	100.03	92.98	2883381
2023-05-22	100.02	100.08	99.99	99.99	92.94	2458541
2023-05-15	100.02	100.08	100.00	100.02	92.91	2964521
2023-05-08	100.08	100.14	99.99	100.08	92.88	2896989
2023-05-01	100.01	100.08	99.94	99.98	92.85	2666815
2023-04-24	100.07	100.11	100.06	100.11	92.81	2310220
2023-04-17	100.20	100.30	100.15	100.15	92.77	2113272
2023-04-10	100.07	100.12	99.99	100.04	92.74	2076886
2023-04-03	100.09	100.14	100.00	100.13	92.71	2664909
2023-03-27	100.02	100.10	99.98	100.02	92.67	1706953
2023-03-20	100.16	100.21	100.07	100.15	92.63	2082861
2023-03-13	100.20	100.24	100.12	100.16	92.60	2201677
2023-03-06	100.10	100.14	100.10	100.12	92.57	2691739
2023-02-27	100.13	100.15	100.05	100.09	92.54	2567527
2023-02-20	100.07	100.12	100.02	100.10	92.51	2586820
2023-02-13	100.07	100.13	100.04	100.04	92.48	2227234
2023-02-06	100.19	100.25	100.17	100.20	92.44	2113896
2023-01-30	100.03	100.03	100.00	100.02	92.40	2099355
2023-01-23	100.08	100.12	100.01	100.12	92.36	1747706
2023-01-16	100.19	100.27	100.09	100.17	92.32	1586090
2023-01-09	100.14	100.20	100.11	100.15	92.28	2655048
2023-01-02	100.07	100.16	100.00	100.05	92.24	1581320
2022-12-26	100.12	100.17	100.04	100.17	92.20	2783314
2022-12-19	100.10	100.13	100.04	100.13	92.17	2530956
2022-12-12	100.08	100.13	100.01	100.13	92.13	1944608
2022-12-05	100.18	100.21	100.10	100.15	92.10	2932722
2022-11-28	100.16	100.26	100.14	100.14	92.07	2990030
2022-11-21	100.05	100.07	100.04	100.07	92.03	2683335
2022-11-14	100.16	100.21	100.10	100.17	91.99	2976428
2022-11-07	100.14	100.22	100.06	100.18	91.96	2136212
2022-10-31	100.02	100.09	99.96	100.06	91.93	2376365
2022-10-24	100.19	100.29	100.18	100.18	91.89	2724749
2022-10-17	100.15	100.22	100.06	100.20	91.85	1846595
2022-10-10	100.19	100.23	100.10	100.23	91.81	2727819
2022-10-03	100.15	100.15	100.09	100.15	91.77	2308820
2022-09-26	100.18	100.22	100.09	100.15	91.73	1550449
2022-09-19	100.13	100.21	100.05	100.08	91.70	2236809
2022-09-12	100.03	100.12	99.97	99.98	91.67	2557672
2022-09-05	100.09	100.12	100.07	100.12	91.64	2636032
2022-08-29	100.08	100.13	100.05	100.05	91.61	2936663
2022-08-22	100.16	100.19	100.14	100.14	91.58	2408768
2022-08-15	100.02	100.05	100.00	100.00	91.54	2825070
2022-08-08	100.08	100.14	100.05	100.05	91.50	1838987
2022-08-01	100.08	100.09	100.02	100.09	91.47	2419949
2022-07-25	100.20	100.24	100.11	100.17	91.44	1924771
2022-07-18	100.06	100.12	100.04	100.05	91.41	2474069
2022-07-11	100.16	100.26	100.09	100.18	91.38	2238281
2022-07-04	100.02	100.07	99.95	100.01	91.35	1575272
2022-06-27	100.05	100.10	99.98	100.03	91.31	2112611
2022-06-20	100.18	100.28	100.11	100.14	91.27	2366181
2022-06-13	100.13	100.18	100.06	100.17	91.24	1835824
2022-06-06	100.03	100.09	99.98	99.98	91.20	2942171
2022-05-30	100.04	100.09	99.96	100.02	91.17	1821556
2022-05-23	100.10	100.17	100.08	100.09	91.14	1602006
2022-05-16	100.10	100.16	100.05	100.08	91.10	1593322
2022-05-09	100.10	100.17	100.01	100.05	91.06	2386425
2022-05-02	100.10	100.12	100.04	100.07	91.03	2572479
2022-04-25	100.11	100.17	100.06	100.10	91.00	2537918
2022-04-18	100.20	100.21	100.14	100.20	90.96	1953371
2022-04-11	100.18	100.27	100.12	100.19	90.93	2260287
2022-04-04	100.04	100.05	99.99	100.02	90.89	2216798
2022-03-28	100.16	100.22	100.15	100.16	90.85	1600147
2022-03-21	100.18	100.27	100.18	100.20	90.82	2538259
2022-03-14	100.15	100.19	100.09	100.18	90.79	2539105
2022-03-07	100.14	100.21	100.06	100.10	90.75	2036772
2022-02-28	100.15	100.22	100.12	100.14	90.71	2793777
2022-02-21	100.09	100.11	100.02	100.08	90.67	2284289
2022-02-14	100.17	100.22	100.11	100.14	90.63	2272030
2022-02-07	100.01	100.07	99.93	100.01	90.60	2049972
2022-01-31	100.00	100.03	99.96	99.97	90.57	1601749
2022-01-24	100.07	100.09	100.05	100.09	90.54	2406085
2022-01-17	100.03	100.05	100.00	100.00	90.51	2587271
2022-01-10	100.10	100.13	100.02	100.06	90.48	1789180
2022-01-03	100.10	100.12	100.00	100.10	90.44	1670613
2021-12-27	100.06	100.07	99.99	100.05	90.41	2068925
2021-12-20	100.07	100.12	100.02	100.02	90.37	1917638
2021-12-13	100.05	100.12	99.95	100.09	90.34	1624698
2021-12-06	100.16	100.22	100.09	100.14	90.31	2898648
2021-11-29	100.16	100.22	100.13	100.20	90.28	1790811
2021-11-22	100.12	100.15	100.08	100.08	90.25	2512070
2021-11-15	100.06	100.11	99.96	100.09	90.22	2522532
2021-11-08	100.14	100.18	100.08	100.13	90.19	1797842
2021-11-01	100.12	100.20	100.06	100.09	90.15	1790274
2021-10-25	100.02	100.04	99.94	100.00	90.11	2300362
2021-10-18	100.06	100.09	100.04	100.09	90.08	2119666
2021-10-11	100.04	100.14	99.94	100.03	90.05	2626674
2021-10-04	100.19	100.28	100.09	100.22	90.02	2753575
2021-09-27	100.15	100.18	100.07	100.17	89.99	2599431
2021-09-20	100.02	100.08	100.00	100.06	89.95	2625755
2021-09-13	100.04	100.08	99.95	100.08	89.92	2980937
2021-09-06	100.09	100.14	100.06	100.12	89.89	1634242
2021-08-30	100.06	100.14	99.98	100.05	89.86	1987991
2021-08-23	100.11	100.17	100.06	100.10	89.83	1906758
2021-08-16	100.12	100.21	100.10	100.11	89.80	2303108
2021-08-09	100.13	100.21	100.12	100.14	89.77	1502862
2021-08-02	100.01	100.05	100.00	100.05	89.74	2392767
2021-07-26	100.13	100.14	100.08	100.11	89.70	2999408
2021-07-19	100.19	100.27	100.13	100.18	89.67	1683419
2021-07-12	100.08	100.13	100.05	100.07	89.64	1816736
2021-07-05	100.12	100.17	100.07	100.17	89.61	2579810
2021-06-28	100.07	100.09	100.02	100.09	89.57	1738256
2021-06-21	100.13	100.20	100.09	100.16	89.54	2141799
2021-06-14	100.01	100.04	99.96	100.04	89.51	2025172
2021-06-07	100.02	100.11	99.96	100.03	89.48	2544579
2021-05-31	100.09	100.12	100.05	100.05	89.45	2378465
2021-05-24	100.01	100.07	99.94	100.04	89.41	2971325
2021-05-17	100.02	100.12	100.00	100.00	89.37	2773609
2021-05-10	100.05	100.09	100.00	100.03	89.34	2643942
2021-05-03	100.12	100.20	100.10	100.14	89.30	2579300
2021-04-26	100.05	100.08	100.00	100.01	89.27	2198873
2021-04-19	100.12	100.14	100.08	100.09	89.23	1670058
2021-04-12	100.12	100.13	100.07	100.07	89.20	2350432
2021-04-05	100.01	100.05	99.96	100.05	89.16	2757194
2021-03-29	100.16	100.23	100.08	100.14	89.12	1502688
2021-03-22	100.04	100.09	99.95	100.02	89.08	2669644
2021-03-15	100.05	100.10	99.96	100.05	89.05	1902796
2021-03-08	100.16	100.22	100.14	100.20	89.02	2367934
2021-03-01	100.14	100.16	100.06	100.12	88.99	1679162
2021-02-22	100.13	100.16	100.09	100.16	88.95	2637118
2021-02-15	100.02	100.07	100.01	100.06	88.91	1875647
2021-02-08	100.13	100.18	100.06	100.13	88.88	2815950
2021-02-01	100.09	100.14	100.04	100.09	88.85	2863663
2021-01-25	100.00	100.06	99.91	99.99	88.81	2830789
2021-01-18	100.12	100.21	100.06	100.15	88.77	1663271
2021-01-11	100.08	100.13	100.02	100.03	88.73	2105299
2021-01-04	100.16	100.20	100.12	100.20	88.70	1667331
2020-12-28	100.01	100.08	99.91	99.99	88.66	1999320
2020-12-21	100.13	100.15	100.12	100.13	88.63	1549687
2020-12-14	100.14	100.19	100.12	100.17	88.60	2718610
2020-12-07	100.17	100.23	100.11	100.16	88.56	2133672
2020-11-30	100.14	100.22	100.05	100.16	88.52	1750805
2020-11-23	100.06	100.07	100.03	100.06	88.49	1917381
2020-11-16	100.03	100.11	100.00	100.00	88.46	2391871
2020-11-09	100.10	100.17	100.05	100.05	88.42	2022331
2020-11-02	100.10	100.13	100.07	100.07	88.39	2571407
2020-10-26	100.17	100.22	100.16	100.21	88.35	1518425
2020-10-19	100.05	100.09	100.04	100.08	88.31	2967910
2020-10-12	100.14	100.24	100.09	100.14	88.27	2933031
2020-10-05	100.17	100.23	100.11	100.14	88.23	2530132
2020-09-28	100.07	100.11	100.02	100.11	88.19	2276389
2020-09-21	100.13	100.19	100.06	100.17	88.16	2577650
2020-09-14	100.09	100.11	100.02	100.11	88.13	2292012
2020-09-07	100.17	100.27	100.11	100.17	88.09	1957721
2020-08-31	100.01	100.02	99.97	99.97	88.05	1754341
2020-08-24	100.01	100.08	99.93	99.97	88.01	1509154
2020-08-17	100.18	100.26	100.12	100.22	87.97	1704460
2020-08-10	100.12	100.14	100.05	100.14	87.93	2796697
2020-08-03	100.07	100.16	100.01	100.09	87.90	2302757
2020-07-27	100.19	100.22	100.09	100.22	87.86	1981969
2020-07-20	100.20	100.30	100.17	100.17	87.83	1800793
2020-07-13	100.06	100.10	100.05	100.05	87.80	2616354
2020-07-06	100.01	100.06	99.99	100.06	87.77	1530133
2020-06-29	100.00	100.03	99.98	100.03	87.73	2071094
2020-06-22	100.20	100.30	100.17	100.17	87.70	2178620
2020-06-15	100.20	100.26	100.17	100.19	87.67	2195397
2020-06-08	100.19	100.20	100.17	100.19	87.63	2726591
2020-06-01	100.17	100.22	100.11	100.13	87.60	2049434
2020-05-25	100.01	100.08	99.96	100.05	87.57	2706638
2020-05-18	100.03	100.07	99.98	100.03	87.54	2496504
2020-05-11	100.07	100.11	100.04	100.05	87.50	1998936
2020-05-04	100.15	100.16	100.10	100.15	87.46	2341657
2020-04-27	100.12	100.16	100.12	100.12	87.43	2196393
2020-04-20	100.03	100.08	99.95	100.02	87.40	1550780
2020-04-13	100.05	100.13	99.99	100.05	87.36	2171353
2020-04-06	100.07	100.14	100.06	100.06	87.33	2791782
2020-03-30	100.02	100.05	99.98	99.98	87.30	2163166
2020-03-23	100.05	100.07	100.02	100.07	87.26	2083923
2020-03-16	100.18	100.22	100.14	100.22	87.22	2612726
2020-03-09	100.10	100.13	100.04	100.13	87.19	1841935
2020-03-02	100.09	100.13	100.04	100.12	87.15	2497970
2020-02-24	100.08	100.18	100.02	100.05	87.11	1558748
2020-02-17	100.09	100.13	100.06	100.10	87.08	1660882
2020-02-10	100.00	100.10	99.93	100.01	87.05	2626873
2020-02-03	100.05	100.11	100.00	100.02	87.02	2223031
2020-01-27	100.20	100.29	100.12	100.17	86.99	2372801
2020-01-20	100.13	100.19	100.13	100.15	86.95	2900652
2020-01-13	100.19	100.22	100.15	100.16	86.91	1721833
2020-01-06	100.15	100.16	100.12	100.15	86.88	2343998
2019-12-30	100.16	100.19	100.14	100.19	86.85	2481289
2019-12-23	100.19	100.22	100.14	100.14	86.82	2915093
2019-12-16	100.10	100.18	100.05	100.14	86.78	2883946
2019-12-09	100.03	100.09	100.03	100.03	86.75	2198107
2019-12-02	100.20	100.25	100.11	100.19	86.72	2003429
2019-11-25	100.04	100.06	99.99	100.06	86.69	2329252
2019-11-18	100.18	100.21	100.18	100.19	86.65	2196004
2019-11-11	100.11	100.21	100.10	100.16	86.62	2279358
2019-11-04	100.09	100.16	100.05	100.12	86.59	1775087
2019-10-28	100.15	100.19	100.08	100.14	86.56	2747010
2019-10-21	100.02	100.10	99.94	99.97	86.52	2589327
2019-10-14	100.05	100.08	99.96	100.05	86.49	2106524
2019-10-07	100.05	100.08	100.05	100.06	86.45	2156316
2019-09-30	100.06	100.16	100.02	100.02	86.41	1911378
2019-09-23	100.11	100.19	100.06	100.08	86.37	2665173
2019-09-16	100.00	100.05	99.93	100.05	86.34	2564676
2019-09-09	100.04	100.05	100.00	100.00	86.31	2389730
2019-09-02	100.13	100.20	100.12	100.12	86.28	2858200
2019-08-26	100.14	100.18	100.10	100.10	86.24	2505055
2019-08-19	100.14	100.18	100.09	100.10	86.20	2936419
2019-08-12	100.02	100.06	99.97	100.06	86.16	2496104
2019-08-05	100.09	100.10	100.03	100.04	86.13	2379421
2019-07-29	100.15	100.17	100.15	100.15	86.10	2675750
2019-07-22	100.09	100.17	100.03	100.06	86.06	2474529
2019-07-15	100.08	100.18	100.05	100.09	86.03	2287484
2019-07-08	100.12	100.12	100.05	100.09	86.00	1513793
2019-07-01	100.02	100.08	99.98	99.98	85.97	1555889
2019-06-24	100.19	100.21	100.12	100.15	85.93	2649377
2019-06-17	100.10	100.15	100.05	100.10	85.90	1808223
2019-06-10	100.02	100.06	99.95	100.00	85.87	1933302
2019-06-03	100.03	100.10	99.99	100.04	85.84	2426159
2019-05-27	100.01	100.07	99.91	99.99	85.82	2198091
2019-05-20	100.07	100.11	100.05	100.09	85.78	2929699
2019-05-13	100.11	100.15	100.03	100.11	85.75	1833716
2019-05-06	100.02	100.05	99.94	100.04	85.71	2268931
2019-04-29	100.03	100.10	99.97	100.08	85.68	2444673
2019-04-22	100.13	100.21	100.03	100.15	85.65	2542059
2019-04-15	100.10	100.14	100.02	100.11	85.62	2465008
2019-04-08	100.12	100.15	100.05	100.15	85.59	2408260
2019-04-01	100.17	100.20	100.11	100.19	85.55	2744646
2019-03-25	100.18	100.20	100.11	100.16	85.52	2426453
2019-03-18	100.17	100.22	100.10	100.18	85.49	1780381
2019-03-11	100.17	100.24	100.08	100.18	85.47	1926336
2019-03-04	100.05	100.12	99.98	100.05	85.44	2728462
2019-02-25	100.02	100.06	99.94	100.00	85.41	1515325
2019-02-18	100.01	100.03	99.93	99.98	85.38	2707362
2019-02-11	100.11	100.14	100.02	100.14	85.34	2240252
2019-02-04	100.06	100.10	99.99	100.02	85.31	2037934
2019-01-28	100.04	100.11	99.99	99.99	85.29	1504163
2019-01-21	100.10	100.13	100.01	100.09	85.26	1679780
2019-01-14	100.06	100.10	100.01	100.10	85.24	2273066
2019-01-07	100.10	100.11	100.04	100.05	85.21	1574390
2018-12-31	100.15	100.20	100.09	100.12	85.18	2862828
2018-12-24	100.01	100.09	99.93	99.96	85.15	2375792
2018-12-17	100.15	100.25	100.13	100.18	85.12	2067640
2018-12-10	100.04	100.12	99.97	100.00	85.08	2644246
2018-12-03	100.18	100.22	100.11	100.22	85.04	2581585
2018-11-26	100.11	100.15	100.07	100.07	85.00	2925749
2018-11-19	100.15	100.20	100.09	100.11	84.97	1936051
2018-11-12	100.09	100.11	99.99	100.08	84.94	2560760
2018-11-05	100.07	100.15	100.02	100.02	84.91	1867775
2018-10-29	100.14	100.16	100.08	100.14	84.88	1532205
2018-10-22	100.07	100.11	100.06	100.11	84.85	2172699
2018-10-15	100.06	100.07	99.97	100.06	84.82	2669476
2018-10-08	100.12	100.21	100.02	100.14	84.80	1952493
2018-10-01	100.06	100.10	100.03	100.09	84.77	2567153
2018-09-24	100.19	100.23	100.10	100.15	84.74	1863927
2018-09-17	100.20	100.23	100.12	100.21	84.70	1521918
2018-09-10	100.04	100.08	99.97	100.00	84.67	2930262
2018-09-03	100.16	100.24	100.08	100.14	84.63	1624692
2018-08-27	100.13	100.20	100.09	100.15	84.59	2498234
2018-08-20	100.01	100.09	99.98	100.00	84.55	2718178
2018-08-13	100.00	100.08	99.91	100.01	84.51	2766942
2018-08-06	100.15	100.24	100.14	100.20	84.47	2044687
2018-07-30	100.06	100.13	99.97	100.10	84.43	1743121
2018-07-23	100.12	100.21	100.05	100.10	84.40	2869552
2018-07-16	100.04	100.08	99.99	100.00	84.37	1762998
2018-07-09	100.12	100.19	100.04	100.16	84.33	2297229
2018-07-02	100.14	100.18	100.07	100.11	84.30	2674896
2018-06-25	100.07	100.10	100.02	100.02	84.27	2459873
2018-06-18	100.12	100.22	100.10	100.13	84.23	2259138
2018-06-11	100.12	100.15	100.08	100.09	84.20	1978371
2018-06-04	100.04	100.06	99.97	100.02	84.16	2633340
2018-05-28	100.15	100.19	100.06	100.12	84.12	1510688
2018-05-21	100.11	100.13	100.01	100.10	84.09	1674198
2018-05-14	100.08	100.12	100.02	100.06	84.06	2844768
2018-05-07	100.18	100.25	100.08	100.22	84.03	2748385
2018-04-30	100.05	100.09	100.03	100.03	84.00	2261694
2018-04-23	100.20	100.21	100.13	100.17	83.97	2619916
2018-04-16	100.05	100.11	100.02	100.06	83.95	2216631
2018-04-09	100.08	100.16	100.05	100.12	83.92	2412151
2018-04-02	100.15	100.24	100.11	100.20	83.89	2197859
2018-03-26	100.18	100.21	100.08	100.21	83.85	1896181
2018-03-19	100.18	100.25	100.11	100.22	83.83	1552298
2018-03-12	100.05	100.08	100.00	100.02	83.80	2434395
2018-03-05	100.14	100.15	100.06	100.13	83.76	1589134
2018-02-26	100.17	100.22	100.17	100.22	83.73	2865190
2018-02-19	100.08	100.18	100.03	100.13	83.70	2684581
2018-02-12	100.11	100.17	100.04	100.07	83.67	1556408
2018-02-05	100.17	100.19	100.08	100.13	83.64	2282370
2018-01-29	100.09	100.13	100.03	100.13	83.61	2978557
2018-01-22	100.05	100.14	99.99	100.05	83.58	2639182
2018-01-15	100.09	100.14	100.00	100.06	83.54	2957522
2018-01-08	100.18	100.27	100.13	100.21	83.51	2278163
2018-01-01	100.16	100.22	100.09	100.17	83.47	2929524
2017-12-25	100.11	100.15	100.07	100.07	83.43	1885312
2017-12-18	100.15	100.22	100.13	100.20	83.39	2999493
2017-12-11	100.06	100.11	100.01	100.01	83.35	1703511
2017-12-04	100.02	100.04	99.98	99.98	83.32	2362599
2017-11-27	100.18	100.22	100.12	100.16	83.29	2210132
2017-11-20	100.00	100.09	99.98	100.00	83.26	2889200
2017-11-13	100.01	100.07	99.99	100.00	83.23	2899080
2017-11-06	100.01	100.11	99.98	100.01	83.21	2125662
2017-10-30	100.01	100.11	99.93	99.98	83.17	2876570
2017-10-23	100.13	100.23	100.11	100.17	83.14	2705385
2017-10-16	100.05	100.11	100.01	100.01	83.11	2295007
2017-10-09	100.06	100.09	100.05	100.09	83.08	2414961
2017-10-02	100.20	100.24	100.17	100.23	83.04	2167357
2017-09-25	100.02	100.10	99.95	100.02	83.01	2174098
2017-09-18	100.04	100.09	99.99	99.99	82.99	1748122
2017-09-11	100.03	100.10	100.01	100.02	82.96	2288534
2017-09-04	100.17	100.21	100.10	100.12	82.92	1750162
2017-08-28	100.03	100.12	99.94	100.00	82.89	2303797
2017-08-21	100.10	100.12	100.04	100.07	82.85	2083479
